version_key,app_id,app_version,version_release_date
1,com.soundcloud.android,2025.02.17-release,2025-02-20 00:00:00
2,com.soundcloud.android,2025.01.30-release,2025-02-20 00:00:00
3,com.soundcloud.android,2025.02.18-release,2025-02-20 00:00:00
4,com.soundcloud.android,2024.05.28-release,2025-02-20 00:00:00
5,com.soundcloud.android,2024.11.13-release,2025-02-20 00:00:00
6,com.soundcloud.android,2025.01.07-release,2025-02-20 00:00:00
7,com.soundcloud.android,2024.09.30-release,2025-02-21 00:00:00
8,com.soundcloud.android,2022.01.13-release,2025-02-22 00:00:00
9,com.soundcloud.android,2024.12.10-release,2025-02-23 00:00:00
10,com.soundcloud.android,2025.01.22-release,2025-02-23 00:00:00
11,com.soundcloud.android,2024.10.21-release,2025-02-24 00:00:00
12,com.soundcloud.android,2024.11.20-release,2025-02-24 00:00:00
13,com.soundcloud.android,2024.11.07-wear-release,2025-02-24 00:00:00
14,com.soundcloud.android,2024.06.17-wear-release,2025-02-26 00:00:00
15,com.soundcloud.android,2022.12.05-release,2025-02-26 00:00:00
16,com.soundcloud.android,2025.02.25-release,2025-02-27 00:00:00
17,com.soundcloud.android,2024.09.20-release,2025-02-27 00:00:00
18,com.soundcloud.android,2018.10.09-release,2025-02-28 00:00:00
19,com.soundcloud.android,2023.11.28-release,2025-03-01 00:00:00
20,com.soundcloud.android,2024.06.21-tv-release,2025-03-02 00:00:00
21,com.soundcloud.android,2025.03.03-release,2025-03-04 00:00:00
22,com.soundcloud.android,2023.03.17-release,2025-03-04 00:00:00
23,com.soundcloud.android,2020.12.18-release,2025-03-04 00:00:00
24,com.soundcloud.android,2024.10.29-release,2025-03-05 00:00:00
25,com.soundcloud.android,2016.04.20-release,2025-03-05 00:00:00
26,com.soundcloud.android,2024.05.17-release,2025-03-06 00:00:00
27,com.soundcloud.android,2022.01.28-release,2025-03-07 00:00:00
28,com.soundcloud.android,2024.08.01-release,2025-03-08 00:00:00
29,com.soundcloud.android,2022.02.21-release,2025-03-08 00:00:00
30,com.soundcloud.android,2024.09.16-release,2025-03-09 00:00:00
31,com.soundcloud.android,2023.10.27-release,2025-03-10 00:00:00
32,com.soundcloud.android,2023.03.31-release,2025-03-10 00:00:00
33,com.soundcloud.android,2021.08.11-release,2025-03-12 00:00:00
34,com.soundcloud.android,2023.07.31-release,2025-03-12 00:00:00
35,com.soundcloud.android,2024.04.03-release,2025-03-12 00:00:00
36,com.soundcloud.android,2024.05.02-release,2025-03-17 00:00:00
37,com.soundcloud.android,2024.11.07-release,2025-03-17 00:00:00
38,com.soundcloud.android,2025.03.17-release,2025-03-19 00:00:00
39,com.soundcloud.android,2024.01.23-release,2025-03-23 00:00:00
40,com.soundcloud.android,2024.04.22-release,2025-03-23 00:00:00
41,com.soundcloud.android,2023.06.16-release,2025-03-24 00:00:00
42,com.soundcloud.android,2019.04.30-release,2025-03-24 00:00:00
43,com.soundcloud.android,2023.06.27-release,2025-03-24 00:00:00
44,com.soundcloud.android,2023.09.06-release,2025-03-25 00:00:00
45,com.soundcloud.android,2025.03.25-release,2025-03-28 00:00:00
46,com.soundcloud.android,2024.10.16-release,2025-04-03 00:00:00
47,com.soundcloud.android,2024.07.22-release,2025-04-04 00:00:00
48,com.soundcloud.android,2022.07.26-release,2025-04-05 00:00:00
49,com.soundcloud.android,2020.10.01-release,2025-04-06 00:00:00
50,com.soundcloud.android,2022.01.20-release,2025-04-08 00:00:00
51,com.soundcloud.android,2022.03.04-release,2025-04-10 00:00:00
52,com.soundcloud.android,2025.04.03-release,2025-04-11 00:00:00
53,com.soundcloud.android,2024.07.01-release,2025-04-12 00:00:00
54,com.soundcloud.android,2019.04.16-release,2025-04-13 00:00:00
55,com.soundcloud.android,2023.02.16-release,2025-04-14 00:00:00
56,com.soundcloud.android,2024.06.25-beta,2025-04-15 00:00:00
57,com.soundcloud.android,2020.07.15-release,2025-04-19 00:00:00
58,com.soundcloud.android,2020.09.22-release,2025-04-21 00:00:00
59,com.soundcloud.android,2022.10.10-release,2025-04-23 00:00:00
60,com.soundcloud.android,2025.02.13-release,2025-04-24 00:00:00
61,com.soundcloud.android,2023.01.05-release,2025-04-24 00:00:00
62,com.soundcloud.android,2025.04.24-release,2025-04-25 00:00:00
